Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Quebec,1131,811,68.8,65.5,72.1,Wald,C,significantly higher
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,New Brunswick,552,319,53.0,47.9,58.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nova Scotia,576,360,60.8,55.4,66.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Prince Edward Island,456,287,62.2,56.3,68.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Newfoundland And Labrador,525,357,65.0,59.6,70.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Yukon (Whitehorse),313,172,52.6,45.7,59.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Northwest Territories (Yellowknife),337,204,56.0,49.3,62.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nunavut (Iqaluit),174,107,55.0,45.1,64.9,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Canada,12301,8326,63.7,62.4,64.9,Wald,C,
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,British Columbia,1142,727,61.9,58.5,65.2,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Alberta,1088,659,59.8,56.5,63.1,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Saskatchewan,900,628,70.9,67.3,74.5,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Manitoba,980,603,60.1,56.5,63.6,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Ontario,1974,1268,63.3,60.8,65.8,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Quebec,1699,1120,65.0,62.3,67.6,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,New Brunswick,877,630,70.0,66.4,73.6,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Nova Scotia,964,662,68.3,64.7,71.9,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Prince Edward Island,823,615,72.1,68.4,75.8,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Newfoundland And Labrador,839,646,74.2,70.6,77.7,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Yukon (Whitehorse),418,302,72.4,67.5,77.2,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Northwest Territories (Yellowknife),366,282,74.8,69.3,80.2,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,all adults,Nunavut (Iqaluit),231,184,76.5,68.8,84.1,Wald,C,significantly higher
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Canada,7032,4741,63.6,61.9,65.3,Wald,C,
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,British Columbia,636,411,63.0,58.6,67.3,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Alberta,593,357,60.5,56.1,64.9,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Saskatchewan,533,365,68.5,64.1,72.9,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Manitoba,555,337,59.8,54.9,64.7,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Ontario,1099,706,62.5,59.2,65.9,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Quebec,961,642,65.6,62.3,69.0,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,New Brunswick,513,362,69.0,64.3,73.6,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Nova Scotia,592,401,68.2,64.0,72.4,Wald,C,not significantly different
2020 SCMH,High community belonging,Percentage (%) of population aged 18 years and older who reported high community belonging,females,Prince Edward Island,504,364,68.6,64.0,73.3,Wald,C,not significantly different
