Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2021-10-22,103090.02
Brazil,2021-10-23,103170.164
Brazil,2021-10-24,103239.12
Brazil,2021-10-25,103294.83
Brazil,2021-10-26,103324.33
Brazil,2021-10-27,103351.89
Brazil,2021-10-28,103415.73
Brazil,2021-10-29,103497.43
Brazil,2021-10-30,103570.03
Brazil,2021-10-31,103626.92
Brazil,2021-11-01,103677.766
Brazil,2021-11-02,103709.914
Brazil,2021-11-03,103728.164
Brazil,2021-11-04,103758.74
Brazil,2021-11-05,103828.46
Brazil,2021-11-06,103891.945
Brazil,2021-11-07,103955.29
Brazil,2021-11-08,104011.71
Brazil,2021-11-09,104040.79
Brazil,2021-11-10,104067.59
Brazil,2021-11-11,104119.66
Brazil,2021-11-12,104178.01
Brazil,2021-11-13,104250.76
Brazil,2021-11-14,104320.17
Brazil,2021-11-15,104389.8
Brazil,2021-11-16,104409.43
Brazil,2021-11-17,104422.74
Brazil,2021-11-18,104446.125
Brazil,2021-11-19,104503.08
Brazil,2021-11-20,104561.56
Brazil,2021-11-21,104625.07
Brazil,2021-11-22,104667.07
Brazil,2021-11-23,104691.445
Brazil,2021-11-24,104703.77
Brazil,2021-11-25,104752.81
Brazil,2021-11-26,104814.29
Brazil,2021-11-27,104871.95
Brazil,2021-11-28,104930.875
Brazil,2021-11-29,104974.77
Brazil,2021-11-30,104994
Brazil,2021-12-01,105012.27
Brazil,2021-12-02,105058.445
Brazil,2021-12-03,105112.71
Brazil,2021-12-04,105174.1
Brazil,2021-12-05,105224.63
Brazil,2021-12-06,105266.66
Brazil,2021-12-07,105289.69
Brazil,2021-12-08,105310.54
Brazil,2021-12-09,105359.28
Brazil,2021-12-10,105407.086
Brazil,2021-12-11,105451.2
Brazil,2021-12-12,105488.125
Brazil,2021-12-13,105504.08
Brazil,2021-12-14,105512.11
Brazil,2021-12-15,105522.01
Brazil,2021-12-16,105540.2
Brazil,2021-12-17,105566.09
Brazil,2021-12-18,105583.78
Brazil,2021-12-19,105603.18
Brazil,2021-12-20,105618.98
Brazil,2021-12-21,105625.73
Brazil,2021-12-22,105635.69
Brazil,2021-12-23,105652.9
Brazil,2021-12-24,105669.31
Brazil,2021-12-25,105686.64
Brazil,2021-12-26,105706.445
Brazil,2021-12-27,105706.445
Brazil,2021-12-28,105747.805
Brazil,2021-12-29,105780.33
Brazil,2021-12-30,105820.414
Brazil,2021-12-31,105863.82
Brazil,2022-01-01,105927.555
Brazil,2022-01-02,105976.445
Brazil,2022-01-03,105995.4
Brazil,2022-01-04,106003.586
Brazil,2022-01-05,106059.93
Brazil,2022-01-06,106149.13
Brazil,2022-01-07,106278.78
Brazil,2022-01-08,106449.13
Brazil,2022-01-09,106750.086
Brazil,2022-01-10,106984.52
Brazil,2022-01-11,107100.45
Brazil,2022-01-12,107265.875
Brazil,2022-01-13,107602.36
Brazil,2022-01-14,108014.29
Brazil,2022-01-15,108484.2
Brazil,2022-01-16,109018.12
Brazil,2022-01-17,109248.83
Brazil,2022-01-18,109367.39
Brazil,2022-01-19,109719.89
Brazil,2022-01-20,110371.81
Brazil,2022-01-21,111345.89
Brazil,2022-01-22,112147.08
Brazil,2022-01-23,112938.96
Brazil,2022-01-24,113687.36
Brazil,2022-01-25,114329.664
Brazil,2022-01-26,114711.68
Brazil,2022-01-27,115599.53
Brazil,2022-01-28,116667.34
Brazil,2022-01-29,117756.016
Brazil,2022-01-30,119039.7
Brazil,2022-01-31,119894.72
Brazil,2022-02-01,120532.72
Brazil,2022-02-02,120903.35
Brazil,2022-02-03,121823.27
Brazil,2022-02-04,122645.42
Brazil,2022-02-05,124064.34
Brazil,2022-02-06,124940.734
Brazil,2022-02-07,125879.56
Brazil,2022-02-08,126163.61
Brazil,2022-02-09,126480.21
Brazil,2022-02-10,127321.97
Brazil,2022-02-11,128172.23
Brazil,2022-02-12,128952.35
Brazil,2022-02-13,129741.72
Brazil,2022-02-14,130408.53
Brazil,2022-02-15,130666.34
Brazil,2022-02-16,130944.7
Brazil,2022-02-17,131517.9
Brazil,2022-02-18,132220.38
Brazil,2022-02-19,132843.52
Brazil,2022-02-20,133418.98
Brazil,2022-02-21,133935.97
Brazil,2022-02-22,134129.14
Brazil,2022-02-23,134306.69
Brazil,2022-02-24,134809.66
Brazil,2022-02-25,135444.73
Brazil,2022-02-26,135890.55
Brazil,2022-02-27,135890.55
Brazil,2022-02-28,136677.03
Brazil,2022-03-01,136791.4
Brazil,2022-03-02,136884.22
Brazil,2022-03-03,136996.17
Brazil,2022-03-04,137143.55
Brazil,2022-03-05,137437.73
Brazil,2022-03-06,137769.48
Brazil,2022-03-07,138051.23
Brazil,2022-03-08,138127.12
Brazil,2022-03-09,138224.39
Brazil,2022-03-10,138551.98
Brazil,2022-03-11,138813.06
Brazil,2022-03-12,139082.36
Brazil,2022-03-13,139344.88
Brazil,2022-03-14,139558.95
Brazil,2022-03-15,139647.6
Brazil,2022-03-16,139701.27
Brazil,2022-03-17,139948.97
Brazil,2022-03-18,140167.12
Brazil,2022-03-19,140402.98
Brazil,2022-03-20,140619.2
Brazil,2022-03-21,140829.16
Brazil,2022-03-22,140892
Brazil,2022-03-23,140944.83
Brazil,2022-03-24,141139.89
Brazil,2022-03-25,141365.16
Brazil,2022-03-26,141544.38
Brazil,2022-03-27,141708.78
Brazil,2022-03-28,141708.78
Brazil,2022-03-29,141899.75
Brazil,2022-03-30,141946.92
Brazil,2022-03-31,142089.84
Brazil,2022-04-01,142251.2
Brazil,2022-04-02,142401.28
